Nombre: 843;Num;Nom;NumType;COMMUNE;Population_totale;EMPLOIS_TOTAUX;ENF;EPCI;IRIS
462;633;LAMOTHE-LANDERON;3;LAMOTHE-LANDERON;1171,00;242;49,00;;0
463;634;ARBANATS;3;ARBANATS;1367,00;213;73,00;;0
464;635;SAINT-PIERRE-DE-MONT;3;SAINT-PIERRE-DE-MONT;1850,00;122;79,00;;0
465;636;FONTET;3;FONTET;2472,00;394;112,00;;0
466;637;Cussac-Fort-M?oc;3;Cussac-Fort-Medoc;2340,00;261;120,00;;0
467;638;CISSAC-MEDOC;3;CISSAC-MEDOC;2269,00;740;117,00;;0
468;639;BAYON-SUR-GIRONDE;3;BAYON-SUR-GIRONDE;2113,00;316;104,00;;
469;640;GAURIAC;3;GAURIAC;3144,00;588;138,00;;
470;641;BLAYE;3;BLAYE;4789,00;3286;181,00;;
471;642;ANGLADE;3;ANGLADE;4857,00;721;191,00;;
472;643;BRAUD-ET-SAINT-LOUIS;3;BRAUD-ET-SAINT-LOUIS;5288,00;4045;267,00;;
473;644;SAINT-CIERS-SUR-GIRONDE;3;SAINT-CIERS-SUR-GIRONDE;5198,00;1150;268,00;;
474;645;BOURG;3;BOURG;3105,00;908;124,00;;
475;646;TAURIAC;3;TAURIAC;2830,00;493;117,00;;
476;647;PUGNAC;3;PUGNAC;2690,00;863;128,00;;
477;648;BERSON;3;CARS BERSON;1821,00;484;79,00;;
478;649;CARTELEGUES SAINT-GIRONS;3;CARTELEGUES SAINT-GIRONS;5226,00;758;218,00;;
479;650;SAINT-CHRISTOLY-DE-BLAYE;3;SAINT-CHRISTOLY-DE-BLAYE;1835,00;349;69,00;;
480;651;DONNEZAC;3;DONNEZAC;4266,00;1029;180,00;;
481;652;SAINT LAURENT D'ARCE;3;SAINT-LAURENT-D'ARCE;1575,00;329;79,00;;
482;653;CEZAC;3;CEZAC;4367,00;464;240,00;;
483;654;CAVIGNAC;3;CAVIGNAC;2289,00;771;141,00;;
484;655;SAINT-MARIENS;3;SAINT-MARIENS;1603,00;411;74,00;;
485;656;SAINT-YZAN-DE-SOUDIAC;3;SAINT-YZAN-DE-SOUDIAC;2455,00;329;132,00;;
486;657;SAINT-SAVIN;3;SAINT-SAVIN;4102,00;1234;187,00;;
487;658;GAURIAGUET;3;GAURIAGUET;1504,00;143;98,00;;
488;659;MARCENAIS;3;MARCENAIS;2014,00;316;95,00;;
489;660;LARUSCADE;3;LARUSCADE;2777,00;426;129,00;;
490;661;SALIGNAC;3;SALIGNAC;2093,00;277;100,00;;
491;662;SAINT-CIERS-D'ABZAC;3;SAINT-CIERS-D'ABZAC;4866,00;777;207,00;;
492;663;LAGORCE;3;LAGORCE;2799,00;433;101,00;;
493;664;CADILLAC LUGON;3;CADILLAC LUGON;6387,00;1118;246,00;;
494;665;GALGON;3;GALGON;6184,00;1387;251,00;;
495;666;LES BILLAUX;3;LES BILLAUX;2061,00;340;73,00;;
496;667;SAINT-DENIS-DE-PILE;3;SAINT-DENIS-DE-PILE;5757,00;1783;256,00;;
497;668;GUITRES;3;GUITRES;3693,00;631;143,00;;
498;669;ABZAC;3;ABZAC;1992,00;498;99,00;;
499;670;COUTRAS;3;COUTRAS;2661,00;1125;90,00;;
500;671;LES EGLISOTTES-ET-CHALAURES;3;LES EGLISOTTES-ET-CHALAURES;2120,00;305;91,00;;
501;672;VAYRES;3;VAYRES;4142,00;1904;208,00;;
502;673;ARVEYRES;3;ARVEYRES;2059,00;567;87,00;;
503;674;FRONSAC;3;FRONSAC;1665,00;571;41,00;;
504;675;LIBOURNE;3;LIBOURNE;2737,00;481;121,00;;101
505;676;LIBOURNE;3;LIBOURNE;2137,00;2125;79,00;;104
506;677;LIBOURNE;3;LIBOURNE;2758,00;5135;105,00;;0108_0109
507;678;LIBOURNE;3;LIBOURNE;2923,00;1160;113,00;;0103_0105_0102
508;679;LIBOURNE;3;LIBOURNE;3251,00;1409;132,00;;107
509;680;LIBOURNE;3;LIBOURNE;2336,00;3544;81,00;;106
510;681;LALANDE-DE-POMEROL;3;LALANDE-DE-POMEROL;1571,00;972;74,00;;
511;682;MONTAGNE;3;MONTAGNE;1496,00;520;81,00;;
512;683;LUSSAC;3;LUSSAC;4352,00;1553;184,00;;
513;684;SAINT-MEDARD-DE-GUIZIERES;3;SAINT-MEDARD-DE-GUIZIERES;2364,00;840;102,00;;
514;685;GOURS;3;GOURS Camp  sur l'isle;870,00;109;34,00;;
515;686;SAINT-SEURIN-SUR-L'ISLE;3;SAINT-SEURIN-SUR-L'ISLE;3126,00;1122;95,00;;
516;687;LE FIEU;3;LE FIEU;2556,00;335;94,00;;
517;688;SAINT-GERMAIN-DU-PUCH;3;SAINT-GERMAIN-DU-PUCH;2245,00;449;82,00;;
518;689;GENISSAC;3;GENISSAC;4202,00;717;192,00;;
519;690;SAINT-SULPICE-DE-FALEYRENS;3;SAINT-SULPICE-DE-FALEYRENS;1294,00;482;32,00;;
520;691;SAINT-EMILION;3;SAINT-EMILION;1836,00;2710;72,00;;
521;692;SAINTE-TERRE;3;SAINTE-TERRE;3523,00;1385;156,00;;
522;693;SAINT-MAGNE-DE-CASTILLON;3;SAINT-MAGNE-DE-CASTILLON;2557,00;1124;108,00;;
523;694;BELVES-DE-CASTILLON;3;BELVES-DE-CASTILLON;2097,00;504;96,00;;
524;695;CASTILLON-LA-BATAILLE;3;CASTILLON-LA-BATAILLE;4087,00;1200;206,00;;
525;696;BARON;3;BARON;1904,00;337;97,00;;
526;697;SAINT-QUENTIN-DE-BARON;3;SAINT-QUENTIN-DE-BARON;4295,00;707;222,00;;
527;698;BRANNE;3;BRANNE;4451,00;1133;180,00;;
528;699;RAUZAN;3;RAUZAN;3536,00;1252;146,00;;
529;700;MOULIETS;3;MOULIETS;3766,00;741;147,00;;
530;701;SAINTE-RADEGONDE;3;SAINTE-RADEGONDE;2703,00;684;91,00;;
531;702;SAINT-ANDRE LEVES-ET-THOUMEYRAGUES;3;SAINT-ANDRE LEVES-ET-THOUMEYRAGUES;3382,00;797;103,00;;
532;703;PINEUILH SAINT-AVIT;3;PINEUILH SAINT-AVIT;8670,00;1936;283,00;;
533;704;SAINTE-FOY-LA-GRANDE;3;SAINTE-FOY-LA-GRANDE;2618,00;1663;163,00;;
534;705;LA SAUVE;3;LA SAUVE;2193,00;491;86,00;;
535;706;TARGON;3;TARGON;3388,00;805;112,00;;
536;707;FALEYRAS LUGASSON;3;FALEYRAS LUGASSON;3321,00;220;153,00;;
537;708;FONTENAC;3;FONTENAC;2702,00;639;131,00;;
538;709;SAUVETERRE-DE-GUYENNE;3;SAUVETERRE-DE-GUYENNE;3824,00;1291;171,00;;
539;710;BLASIMON;3;BLASIMON;1163,00;238;44,00;;
540;711;PELLEGRUE;3;PELLEGRUE;2894,00;1360;92,00;;
541;712;CAPIAN;3;LANGOIRAN;772,00;200;29,00;;
542;713;RIONS;3;RIONS;1991,00;225;78,00;;
543;714;CADILLAC;3;CADILLAC;2816,00;2070;113,00;;
544;715;MOURENS;3;MOURENS;2466,00;586;104,00;;
545;716;MORIZES;3;MORIZES;3211,00;578;139,00;;
546;717;MONSEGUR;3;MONSEGUR;5213,00;1315;187,00;;
547;718;VERDELAIS;3;LE PIAN-SUR-GARONNE;1856,00;431;84,00;;
548;719;SAINT-PIERRE-D'AURILLAC;3;SAINT-PIERRE-D'AURILLAC;1363,00;269;51,00;;
549;720;CAUDROT;3;CAUDROT;1156,00;448;46,00;;
550;721;GIRONDE-SUR-DROPT;3;GIRONDE-SUR-DROPT;1370,00;470;55,00;;
551;722;LA REOLE;3;LA REOLE;4484,00;2994;210,00;;
552;723;MONGAUZY;3;LAMOTHE-LANDERON;868,00;219;36,00;;
553;724;VIRELADE;3;ARBANATS;1149,00;76;56,00;;
554;725;PODENSAC;3;PODENSAC;3198,00;1372;110,00;;
555;726;CERONS;3;CERONS;2100,00;314;84,00;;
556;727;BARSAC;3;BARSAC;2038,00;613;82,00;;
557;728;PREIGNAC;3;PREIGNAC;2138,00;508;88,00;;
558;729;TOULENNE;3;TOULENNE;2809,00;751;142,00;;
559;730;LANGON;3;LANGON;3672,00;3466;138,00;;
560;731;CASTETS ET CASTILLON;3;SAINT-PIERRE-DE-MONT;2389,00;294;116,00;;
561;732;PONDAURAT;3;FONTET;1754,00;255;74,00;;
562;733;ILLATS;3;ILLATS;2215,00;669;111,00;;
563;734;FARGUES;3;FARGUES;5416,00;1016;266,00;;
564;735;ROAILLAN;3;ROAILLAN;4404,00;855;243,00;;
565;736;AUROS;3;AUROS;1882,00;314;81,00;;
566;737;BAZAS;3;BAZAS;5233,00;3014;143,00;;
567;738;AILLAS GRIGNOLS;3;AILLAS GRIGNOLS;5323,00;1156;168,00;;
568;739;CUDOS;3;CUDOS;3087,00;530;97,00;;
569;740;LANDIRAS;3;LANDIRAS;2632,00;1176;116,00;;
